화장실개수,소화기 대수,역내편의점 개수,지하상가 개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,스마트도서관 개수,id
1,47,0,1,1,1,30,25,0,0
4,43,0,1,12,12,6,9,0,1
1,0,0,1,5,5,10,64,0,2
1,68,0,6,3,3,25,44,1,3
1,46,0,0,0,0,66,9,0,4
1,38,0,0,2,2,164,9,0,5
2,50,1,7,2,2,30,50,0,6
2,40,0,3,4,4,60,0,0,7
1,50,0,2,0,0,5,0,0,8
1,41,0,0,6,6,54,17,0,9
1,52,0,3,0,0,78,78,0,10
1,48,1,1,2,2,174,59,0,11
1,51,1,7,2,2,261,66,0,12
1,46,0,8,4,4,29,22,0,13
1,39,0,3,4,4,294,17,0,14
1,45,0,5,6,6,390,13,1,15
1,61,0,2,8,8,92,13,1,16
1,45,1,4,1,1,194,13,0,17
1,46,1,7,6,6,351,17,1,18
1,29,0,0,0,0,14,9,0,19
1,41,0,0,2,2,56,60,0,20
1,41,0,5,8,8,291,39,0,21
1,53,0,4,4,4,113,9,0,22
1,66,0,6,2,2,59,13,0,23
1,49,0,2,8,8,109,13,1,24
2,59,0,12,14,14,161,26,0,25
1,44,0,0,4,4,0,64,0,26
1,44,1,2,8,8,180,9,1,27
1,54,0,3,8,8,74,22,1,28
1,61,1,7,8,8,44,13,0,29
1,52,0,15,2,2,63,34,0,30
1,55,0,5,8,8,460,45,1,31
2,62,0,0,6,6,0,25,0,32
1,24,0,0,0,0,50,9,0,33
1,55,0,1,2,2,0,13,0,34
1,47,1,1,8,8,460,13,1,35
2,96,2,9,9,9,630,79,0,36
1,44,0,5,9,9,90,50,1,37
1,60,0,0,0,0,28,9,0,38
1,35,0,1,4,4,98,9,1,39
1,58,1,5,4,4,90,71,0,40
1,47,0,5,2,2,50,9,1,41
1,42,0,2,2,2,209,9,0,42
1,75,0,0,14,14,38,30,0,43
1,42,0,6,4,4,36,13,0,44
1,52,0,8,8,8,69,17,0,45
1,0,0,0,0,0,0,9,0,46
4,30,0,0,12,12,163,9,1,47
1,114,0,9,0,0,15,0,0,48
1,41,0,7,2,2,49,0,0,49
1,51,1,13,6,6,42,50,0,50
1,58,0,5,4,4,36,21,0,51
1,63,2,17,8,8,652,108,0,52
1,41,1,7,4,4,1125,13,0,53
1,72,1,2,11,11,0,21,0,54
2,122,2,4,5,5,255,92,0,55
1,51,0,2,4,4,22,15,1,56
1,61,1,4,2,2,77,9,0,57
1,53,1,13,4,4,85,25,0,58
1,64,1,5,8,8,245,171,0,59
2,46,0,1,22,22,261,13,0,60
1,54,0,1,10,10,52,76,1,61
2,64,0,2,20,20,95,9,0,62
0,67,0,39,24,24,0,72,0,63
1,39,1,7,2,2,34,13,0,64
1,46,0,0,4,4,700,13,1,65
1,35,1,4,6,6,44,9,1,66
1,36,0,0,2,2,51,21,0,67
1,32,0,5,2,2,74,9,1,68
1,36,0,1,4,4,166,9,0,69
1,50,0,0,8,8,47,9,0,70
1,57,0,4,8,8,105,13,0,71
1,37,0,0,8,8,53,9,1,72
1,56,1,8,4,4,67,13,0,73
1,41,0,4,4,4,24,9,0,74
1,39,0,0,0,0,18,9,0,75
1,47,0,8,2,2,70,9,1,76
1,58,0,8,12,12,156,21,1,77
1,53,0,14,6,6,65,68,0,78
1,61,0,11,10,10,12,83,1,79
1,40,0,5,9,9,34,43,1,80
1,50,0,2,2,2,17,9,0,81
1,54,1,6,2,2,93,26,1,82
1,33,0,4,4,4,254,25,1,83
2,65,0,0,15,15,179,9,0,84
2,76,1,3,4,4,75,9,1,85
2,76,1,3,4,4,75,9,1,86
1,0,0,4,2,2,0,0,0,87
1,49,1,4,6,6,49,9,0,88
1,42,0,0,0,0,30,9,0,89
1,63,0,8,6,6,17,0,0,90
0,19,0,0,0,0,70,9,0,91
0,17,0,0,0,0,0,0,0,92
1,47,0,0,2,2,57,9,0,93
2,57,0,2,0,0,119,18,1,94
2,57,0,2,0,0,119,18,1,95
1,47,0,2,3,3,42,17,1,96
1,38,0,0,2,2,10,9,0,97
1,44,0,2,8,8,170,21,0,98
2,38,0,4,4,4,125,9,0,99
1,53,0,9,10,10,38,47,0,100
2,49,0,0,6,6,0,28,0,101
1,66,1,2,0,0,70,15,0,102
1,59,0,1,6,6,0,126,0,103
1,51,1,1,6,6,97,9,1,104
1,48,0,15,2,2,0,26,1,105
3,68,0,20,7,7,52,26,0,106
1,47,0,0,4,4,7,13,0,107
1,51,0,7,4,4,120,13,0,108
1,0,0,0,4,4,20,26,0,109
1,48,0,6,4,4,32,42,0,110
1,47,1,6,4,4,440,13,1,111
1,43,0,1,0,0,10,13,0,112
1,48,0,9,9,9,44,13,0,113
1,24,1,0,6,6,96,9,0,114
1,42,0,2,4,4,136,13,0,115
1,51,0,2,6,6,220,9,0,116
1,0,0,17,4,4,71,26,1,117
1,65,2,5,24,24,10,34,0,118
1,33,0,0,2,2,12,13,1,119
1,41,0,2,4,4,13,128,0,120
1,71,0,3,6,6,0,46,0,121
1,69,1,4,12,12,207,13,0,122
2,69,0,0,16,16,138,0,0,123
1,22,1,0,2,2,116,9,1,124
1,0,1,0,0,0,54,9,0,125
1,38,1,0,3,3,140,9,1,126
1,37,1,1,6,6,185,9,1,127
1,88,1,22,11,11,70,22,1,128
1,40,1,3,4,4,95,13,0,129
1,40,1,2,4,4,0,88,0,130
1,24,0,2,8,8,178,13,1,131
1,30,1,3,4,4,75,13,0,132
1,33,1,0,3,3,123,13,1,133
2,44,1,12,8,8,24,42,0,134
1,41,1,8,12,12,99,17,1,135
1,38,1,6,4,4,221,13,1,136
1,45,0,0,5,5,0,9,0,137
1,31,1,3,4,4,277,13,0,138
1,50,0,0,12,12,364,9,1,139
1,36,1,0,4,4,69,9,1,140
1,34,1,0,10,10,25,9,1,141
1,30,1,3,10,10,50,13,0,142
1,32,1,3,2,2,67,9,0,143
1,31,1,5,4,4,210,17,1,144
2,49,0,0,22,22,820,0,0,145
1,34,1,3,0,0,142,13,0,146
1,40,1,1,2,2,68,9,1,147
1,0,1,2,6,6,83,9,0,148
1,36,1,0,18,18,241,9,1,149
1,40,2,7,10,10,89,17,1,150
1,29,1,3,4,4,56,9,0,151
1,45,1,0,12,12,4,9,0,152
1,45,0,3,9,9,75,9,0,153
1,28,1,0,10,10,12,9,0,154
1,32,1,4,8,8,92,13,0,155
1,35,1,0,6,6,35,9,0,156
1,29,0,0,8,8,96,9,1,157
1,28,1,1,11,11,49,56,0,158
1,40,1,4,4,4,89,38,1,159
1,47,1,2,14,14,40,9,0,160
1,51,1,0,8,8,63,9,0,161
1,37,1,0,7,7,0,0,0,162
1,54,1,44,10,10,291,17,1,163
1,30,1,0,4,4,0,38,0,164
1,46,1,10,8,8,32,26,0,165
1,33,1,4,4,4,49,13,1,166
1,46,1,5,11,11,0,0,0,167
1,36,1,4,4,4,262,13,0,168
1,41,1,1,10,10,0,0,0,169
1,21,1,26,16,16,535,39,0,170
0,31,1,3,0,0,28,9,0,171
1,53,1,4,4,4,58,9,0,172
