역명,노선명,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수,평균승차총승객수,평균하차총승객수,평균역이용자수
동대문,1호선,2,3400,2090,1,0,1,1,1,30,25,47,0,11976,11835,23812
동묘앞,1호선,2,5700,4194,1,0,4,12,12,6,9,43,0,10381,10633,21015
서울역,1호선,2,8725,2080,1,0,1,5,5,10,64,,0,53940,51270,105211
시청,1호선,2,6863,3784,6,0,1,3,3,25,44,68,1,24953,24960,49914
신설동,1호선,2,4164,3076,,0,1,,,66,9,46,0,13650,13191,26842
제기동,1호선,1,5105,2815,,0,1,2,2,164,9,38,0,16625,16935,33561
종각,1호선,1,7737,2672,7,1,2,2,2,30,50,50,0,36273,35415,71689
종로3가,1호선,3,5628,3683,3,0,2,4,4,60,,40,0,25379,23217,48596
종로5가,1호선,1,7822,2208,2,0,1,,,5,,50,0,23238,22681,45919
청량리,1호선,1,5354,1771,,0,1,6,6,54,17,41,0,22449,22085,44535
강남,2호선,1,4018,2374,3,0,1,,,78,78,52,0,75530,73875,149406
강변,2호선,1,1791,2362,1,1,1,2,2,174,59,48,0,29402,27817,57219
건대입구,2호선,2,3969,2574,7,1,1,2,2,261,66,51,0,36313,38110,74424
교대,2호선,2,6307,3005,8,0,1,4,4,29,22,46,0,28320,34001,62322
구로디지털단지,2호선,1,3411,2343,3,0,1,4,4,294,17,39,0,53276,52648,105925
구의,2호선,1,3236,2348,5,0,1,6,6,390,13,45,1,23830,23113,46943
낙성대,2호선,1,3631,1994,2,0,1,8,8,92,13,61,1,26645,25796,52442
당산,2호선,2,3635,2750,4,1,1,1,1,194,13,45,0,17180,19779,36959
대림,2호선,2,4009,2469,7,1,1,6,6,351,17,46,1,23542,24032,47574
도림천,2호선,1,2252,1306,,0,1,,,14,9,29,0,1235,1315,2550
동대문역사문화공원,2호선,3,4972,1568,,0,1,2,2,56,60,41,0,14606,16771,31377
뚝섬,2호선,1,4961,3423,5,0,1,8,8,291,39,41,0,23856,24709,48565
문래,2호선,1,3916,2297,4,0,1,4,4,113,9,53,0,21253,21961,43215
방배,2호선,1,3796,2155,6,0,1,2,2,59,13,66,0,15746,16192,31938
봉천,2호선,1,3491,1743,2,0,1,8,8,109,13,49,1,23121,21612,44733
사당,2호선,2,7285,5721,12,0,2,14,14,161,26,59,0,40121,43051,83172
삼성,2호선,1,4777,1670,,0,1,4,4,0,64,44,0,51150,51330,102481
