연번,호선,역명,관리번호(호기),상하행구분,(근접)출입구번호,시작층(지상_지하),시작층(운행역층),시작층(상세위치),종료층(지상_지하),종료층(운행역층),종료층(상세위치),승강기형폭,승강기일련번호,운행구간,설치위치
1,9(2단계),언주,1,하 행,내부,지하,4,대합실,지하,5,신논현 방면 3-1,1200,1809-530,B4-B5,(중층 → 하선 3-1)
2,9(2단계),언주,2,상 행,내부,지하,5,신논현 방면 3-1,지하,4,대합실,1200,1809-529,B5-B4,(하선 3-1 → 중층)
3,9(2단계),언주,3,하 행,내부,지하,4,대합실,지하,5,선정릉 방면 4-4,1200,1809-536,B4-B5,(중층 → 상선 4-4)
4,9(2단계),언주,4,상 행,내부,지하,5,선정릉 방면 4-4,지하,4,대합실,1200,1809-535,B5-B4,(상선 4-4 → 중층)
5,9(2단계),언주,5,상 행,내부,지하,5,신논현 방면 5-3,지하,4,대합실,1200,1809-531,B5-B4,(하선 5-3 → 중층)
6,9(2단계),언주,6,하 행,내부,지하,4,대합실,지하,5,신논현 방면 5-3,1200,1809-532,B4-B5,(중층 → 하선 5-3)
7,9(2단계),언주,7,상 행,내부,지하,5,선정릉 방면 2-2,지하,4,대합실,1200,1809-533,B5-B4,(상선 2-2 → 중층)
8,9(2단계),언주,8,하 행,내부,지하,4,대합실,지하,5,선정릉 방면 2-2,1200,1809-534,B4-B5,(중층 → 상선 2-2)
9,9(2단계),언주,9,상 행,내부,지하,4,대합실,지하,1,대합실,1200,1809-537,B4-B1,(중층 → 대합실)
10,9(2단계),언주,10,하 행,내부,지하,1,대합실,지하,4,대합실,1200,1809-538,B1-B4,(대합실 → 중층)
11,9(2단계),언주,11,상 행,내부,지하,4,대합실,지하,1,대합실,1200,1809-539,B4-B1,(중층 → 대합실)
12,9(2단계),언주,12,하 행,내부,지상,1,1번 출구 측,지하,1,대합실,1200,1809-522,1F-B1,(1번 출구 → 대합실)
13,9(2단계),언주,13,상 행,1번출구,지하,1,대합실,지상,1,1번 출구 측,1200,1809-521,B1-1F,(대합실 → 1번 출구)
14,9(2단계),언주,14,하 행,2번출구,지상,1,2번 출구 측,지하,1,대합실,1000,1809-524,1F-B1,(2번 출구 → 대합실)
15,9(2단계),언주,15,상 행,2번출구,지하,1,대합실,지상,1,2번 출구 측,1000,1809-523,B1-1F,(대합실 → 2번 출구)
16,9(2단계),언주,16,하 행,3번출구,지상,1,3번 출구 측,지하,1,대합실,1000,1809-526,1F-B1,(3번 출구 → 대합실)
17,9(2단계),언주,17,상 행,3번출구,지하,1,대합실,지상,1,3번 출구 측,1000,1809-525,B1-1F,(대합실 → 3번 출구)
18,9(2단계),언주,18,하 행,4번출구,지상,1,4번 출구 측,지하,1,대합실,1200,1809-528,1F-B1,(4번 출구 → 대합실)
19,9(2단계),언주,19,상 행,4번출구,지하,1,대합실,지상,1,4번 출구 측,1200,1809-527,B1-1F,(대합실 → 4번 출구)
20,9(2단계),언주,20,하 행,5번출구,지상,1,5번 출구 측,지하,1,대합실,1200,1809-545,1F-B1,(5번 출구 → 대합실)
21,9(2단계),언주,21,상 행,5번출구,지하,1,대합실,지상,1,5번 출구 측,1200,1809-546,B1-1F,(대합실 → 5번 출구)
22,9(2단계),언주,22,하 행,6번출구,지상,1,6번 출구 측,지하,1,대합실,1000,1809-547,1F-B1,(6번 출구 → 대합실)
23,9(2단계),언주,23,상 행,6번출구,지하,1,대합실,지상,1,6번 출구 측,1000,1809-548,B1-1F,(대합실 → 6번 출구)
24,9(2단계),언주,24,상 행,7번 8번출구,지하,M,대합실,지하,1,7번 8번 출구 측,1200,1809-540,BM-B1,(대합실 → 7번 8번 출구)
25,9(2단계),언주,25,하 행,7번출구,지하,1,7번 출구 측,지상,1,대합실,1000,1809-543,B1-1F,(7번 출구 → 대합실)
26,9(2단계),언주,26,상 행,7번출구,지상,1,대합실,지하,1,7번 출구 측,1000,1809-544,1F-B1,(대합실 → 7번 출구)
27,9(2단계),언주,27,하 행,8번출구,지하,1,8번 출구 측,지상,1,대합실,1200,1809-541,B1-1F,(8번 출구 → 대합실)
28,9(2단계),언주,28,상 행,8번출구,지상,1,대합실,지하,1,8번 출구 측,1200,1809-542,1F-B1,(대합실 → 8번 출구)
29,9(2단계),선정릉(9),1,하 행,내부,지하,1,대합실,지하,3,언주 방면 1-1,1200,1807-946,B1-B3,(대합실 → 하선 1-1)
30,9(2단계),선정릉(9),2,상 행,내부,지하,3,언주 방면 1-1,지하,1,대합실,1200,1807-945,B3-B1,(하선 1-1 → 대합실)
31,9(2단계),선정릉(9),3,하 행,내부,지하,1,대합실,지하,3,삼성중앙 방면 6-4,1200,1807-948,B1-B3,(대합실 → 상선 6-4)
32,9(2단계),선정릉(9),4,상 행,내부,지하,3,삼성중앙 방면 6-4,지하,1,대합실,1200,1807-947,B3-B1,(상선 6-4 → 대합실)
33,9(2단계),선정릉(9),5,상 행,내부,지하,3,언주 방면 4-2,지하,1,대합실,1200,1807-949,B3-B1,(하선 4-2 → 대합실)
34,9(2단계),선정릉(9),6,하 행,내부,지하,1,대합실,지하,3,언주 방면 4-2,1200,1807-950,B1-B3,(대합실 → 하선 4-2)
35,9(2단계),선정릉(9),7,상 행,내부,지하,3,삼성중앙 방면 3-3,지하,1,대합실,1200,1807-951,B3-B1,(상선 3-3 → 대합실)
36,9(2단계),선정릉(9),8,하 행,내부,지하,1,대합실,지하,3,삼성중앙 방면 3-3,1200,1807-952,B1-B3,(대합실 → 상선 3-3)
37,9(2단계),선정릉(9),9,상 행,내부,지하,4,대합실,지하,3,언주 방면 5-4,1200,1807-953,B4-B3,(환승대합실 → 하선 5-4)
38,9(2단계),선정릉(9),10,하 행,내부,지하,3,언주 방면 5-4,지하,4,대합실,1200,1807-954,B3-B4,(하선 5-4 → 환승대합실)
39,9(2단계),선정릉(9),11,상 행,내부,지하,4,대합실,지하,3,삼성중앙 방면 2-1,1200,1807-955,B4-B3,(환승대합실 → 상선 2-1)
40,9(2단계),선정릉(9),12,하 행,내부,지하,3,삼성중앙 방면 2-1,지하,4,대합실,1200,1807-956,B3-B4,(상선 2-1 → 환승대합실)
41,9(2단계),삼성중앙,1,상 행,내부,지하,2,선정릉 방면 4-4,지하,1,대합실,1200,1809-558,B2-B1,(하선 4-4  → 대합실)
42,9(2단계),삼성중앙,2,하 행,내부,지하,1,대합실,지하,2,선정릉 방면 4-4,1200,1809-557,B1-B2,(대합실 → 하선 4-4)
43,9(2단계),삼성중앙,3,상 행,내부,지하,2,봉은사 방면 3-1,지하,1,대합실,1200,1809-556,B2-B1,(상선 3-1 → 대합실)
44,9(2단계),삼성중앙,4,하 행,내부,지하,1,대합실,지하,2,봉은사 방면 3-1,1200,1809-555,B1-B2,(대합실 → 상선 3-1)
45,9(2단계),삼성중앙,5,하 행,내부,지상,1,대합실,지하,1,대합실,1000,1809-552,1F-B1,(중층 → 대합실)
