연번,호선,역명,기기종류,지상지하구분,역층,상세위치,설치대수,계약자(업체명),전화번호
1,1,종각,무인민원발급기,지하,B1,대합실(종로타워 가는 방향),1,종로구청,02-2148-1913
2,2,삼성,무인민원발급기,지하,B1,표 내는 곳(가) 옆(1번 2번 출입구 근처),1,강남구청,02-3423-5381
3,2,선릉,무인민원발급기,지하,B2,네이처리퍼블릭 옆,2,강남구청,02-3423-5381
4,2,강남,무인민원발급기,지하,B1,1번 12번 출입구 사이,1,강남구청,02-3423-5381
5,2,역삼,무인민원발급기,지하,B1,5번 6번 7번 8번 출구 근처,1,강남구청,02-3423-5381
6,2,낙성대,무인민원발급기,지하,B1,1번 출입구 방향 외선 승강장 표 내는 곳 근처,1,관악구청,02-879-5311
7,2,서울대입구,무인민원발급기,지하,B1,5번 6번 출입구와 7번 8번 출입구 사이,1,관악구청,02-879-5311
8,2,봉천,무인민원발급기,지하,B1,5번 출입구 근처,1,관악구청,02-879-5311
9,2,신림,무인민원발급기,지하,B1,3번 4번 출입구 근처,1,관악구청,02-879-5311
10,2,구로디지털,무인민원발급기,지상,2,6번 출구 방향,1,구로구청,02-860-2301
11,2,당산,무인민원발급기,지상,2,1번 2번 출입구 사이,1,영등포구청,02-2670-3106
12,2,신촌,무인민원발급기,지하,B1,3번 4번 출입구 근처,1,서대문구청,02-330-1146
13,2,충정로,무인민원발급기,지하,B2,지하2층 에스컬레이터 근처(1번 2번 5번 6번 출구 근처),1,서대문구청,02-330-1146
14,2,을지로입구,무인민원발급기,지하,B1,대합실,1,중구청,02-3396-4783
15,2,성수,무인민원발급기,지상,2,1번 출입구 근처,1,성동구청,02-2286-5139
16,2,건대입구,무인민원발급기,지상,2,2번 출입구 표 내는 곳과 상가 사이,1,광진구청,02-450-7176
17,2,구의,무인민원발급기,지상,2,1번 출입구 근처,1,광진구청,02-450-7176
18,3,구파발,무인민원발급기,지하,B1,2번 3번 출입구 근처,1,은평구청,02-351-6415
19,3,연신내,무인민원발급기,지하,B1,6번 출입구 근처,1,은평구청,02-351-6415
20,3,불광,무인민원발급기,지하,B1,1번 출입구 근처,1,은평구청,02-351-6415
21,3,홍제,무인민원발급기,지하,B1,2번 출입구 근처,1,서대문구청,02-330-1144
22,3,경복궁,무인민원발급기,지하,B2,고객서비스센터 근처,1,종로구청,02-2148-1913
23,3,약수,무인민원발급기,지하,B1,3번 출입구 앞,1,중구청,02-3396-4783
24,3,금호,무인민원발급기,지하,B1,3번 4번 출입구 방면 대합실 통로,1,성동구청,02-2286-5139
25,3,옥수,무인민원발급기,지상,3,3번 출구 근처,1,성동구청,02-2286-5139
26,3,압구정,무인민원발급기,지하,B1,4번 출입구 근처,1,강남구청,02-3423-5381
27,3,신사,무인민원발급기,지하,B1,대합실 중앙 물품보관함(A)옆,1,강남구청,02-3423-5381
28,3,교대,무인민원발급기,지하,B1,지하 1층 14번 출입구 근처,1,서초구청,02-2155-6301
29,4,혜화,무인민원발급기,지하,B1,1번 출입구 근처 역무실 맞은편,1,종로구청,02-2148-1913
30,4,수유,무인민원발급기,지하,B1,3번 4번 과 5번 6번출입구 사이,1,강북구청,02-901-6262
31,4,미아,무인민원발급기,지하,B1,7번 출입구 근처,1,강북구청,02-901-6262
32,4,미아사거리,무인민원발급기,지하,B1,1번 6번 출입구 근처,1,강북구청,02-901-6262
33,4,쌍문,무인민원발급기,지하,B1,3번 출입구 근처,1,도봉구청,02-2091-2412
34,4,창동,무인민원발급기,지상,2,2번 출입구 계단 근처,1,도봉구청,02-2091-2412
35,4,한성대입구,무인민원발급기,지하,B1,5번 출입구 근처,1,성북구청,02-2241-4473
36,4,길음,무인민원발급기,지하,B1,4번 출입구 5번 출입구 사이,1,성북구청,02-2241-4473
37,5,천호,무인민원발급기,지하,B1,5번 6번 출입구 방향,1,강동구청,02-3425-5375
38,5,길동,무인민원발급기,지하,B1,1번 출입구 근처(대합실 중앙),1,강동구청,02-3425-5375
39,5,고덕,무인민원발급기,지하,B1,지하1층 대합실 편의점 앞(4번 출입구 근처),1,강동구청,02-3425-5375
40,5,둔촌동,무인민원발급기,지하,B1,지하1층 대합실 중앙(화장실 앞),1,강동구청,02-3425-5375
