연번 ,구분 ,관리기관명,운영노선명 ,역명,소재지도로명주소 ,소재지지번주소 ,위도 ,경도 ,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 ,화장실 설치장소 유형,오물처리방식 ,남녀공용화장실여부 ,남성용-대변기수 ,남성용-소변기수 ,남성용-장애인용대변기수 ,남성용-장애인용소변기수 ,남성용-어린이용대변기수 ,남성용-어린이용소변기수 ,여성용-대변기수 ,여성용-장애인용대변기수 ,여성용-어린이용대변기수 ,비상벨 설치유무 ,화장실입구cctv설치유무 ,기저귀교환대설치유무-남자화장실 ,기저귀교환대설치유무-남자장애인화장실 ,기저귀교환대설치유무-여자화장실 ,기저귀교환대설치유무-여자장애인화장실 ,리모델링 연도,데이터기준일자
1,공중화장실,서울교통공사,1호선,서울,서울특별시 중구 세종대로 지하2(남대문로 5가),서울특별시 중구 남대문로5가 73-6 서울역(1호선),37.556878,126.972578,지하,1,외부,2,지하1층 2번출구 부근, 02-6110-1331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,2,,9,1,2,Y,Y,Y,Y,Y,Y,2015,2025-03-13
2,공중화장실,서울교통공사,1호선,시청,서울특별시 중구 세종대로 지하101(정동),서울특별시 중구 정동 5-5 시청역(1호선),37.565682,126.976849,지하,1,외부,5,지하1층 5번출구 부근, 02-6110-1321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,5,1,,2,,15,1,2,Y,Y,Y,Y,Y,Y,2013,2025-03-13
3,공중화장실,서울교통공사,1호선,종각,서울특별시 종로구 종로 지하55(종로1가),서울특별시 종로구 종로1가 54 종각역(1호선),37.570175,126.983226,지하,1,외부,1,"지하1층 가게이트 부근 (연결통로 부근, 시청측)", 02-6110-1311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,2,1,,1,,6,1,1,Y,Y,Y,Y,Y,Y,2015,2025-03-13
4,공중화장실,서울교통공사,1호선,종각,서울특별시 종로구 종로 지하55(종로1가),서울특별시 종로구 종로1가 54 종각역(1호선),37.570175,126.983226,지하,1,외부,4,지하1층 다게이트 부근 (종로3가측), 02-6110-1311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,,,10,1,,Y,Y,Y,Y,Y,Y, 2008이전 ,2025-03-13
5,공중화장실,서울교통공사,1호선,종로3가,서울특별시 종로구 종로 지하129(종로3가),서울특별시 종로구 종로3가 10-5 종로3가역(1호선),37.57042,126.992153,지하,1,외부,1,지하1층 가게이트 부근, 02-6110-1301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,6,1,,1,,12,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
6,공중화장실,서울교통공사,1호선,종로3가,서울특별시 종로구 종로 지하129(종로3가),서울특별시 종로구 종로3가 10-5 종로3가역(1호선),37.57042,126.992153,지하,1,내부,11,지하1층 라게이트 부근 (역무실앞) [게이트 내], 02-6110-1301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,,,,,6,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
7,공중화장실,서울교통공사,1호선,종로5가,서울특별시 종로구 종로 지하216(종로5가),서울특별시 종로구 종로5가 82-1 종로5가역(1호선),37.571743,127.011169,지하,1,외부,8,지하1층 지하상가 연결통로앞, 02-6110-1291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,1,,8,1,1,Y,Y,Y,Y,Y,Y,2014,2025-03-13
8,공중화장실,서울교통공사,1호선,동대문,서울특별시 종로구 종로 지하302(창신동),서울특별시 종로구 창신동 492-1 동대문역(1호선),37.576087,127.02456,지하,1,외부,4,지하1층 4번출입구 부근, 02-6110-1281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,,2,,12,1,1,Y,Y,Y,Y,Y,Y,2016,2025-03-13
9,공중화장실,서울교통공사,1호선,동묘앞,서울특별시 종로구 종로 359(숭인동),서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.573281,127.016649,지상,1,외부,2,1층 역무실 부근, 02-6110-1271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,2,1,,,,1,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
10,공중화장실,서울교통공사,1호선,동묘앞,서울특별시 종로구 종로 359(숭인동),서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.573281,127.016649,지하,1,외부,3,지하1층 3번출입구 부근, 02-6110-1271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,2,1,,,,6,1,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
