연번,호선,역명,대수
1,1,서울역,10
2,1,시청,25
3,1,종각,30
4,1,종로3가,60
5,1,종로5가,5
6,1,동대문,30
7,1,신설동,66
8,1,제기동,164
9,1,청량리,54
10,1,동묘앞,6
11,2,을지로입구,42
12,2,을지로3가,15
13,2,을지로4가,49
14,2,동대문역사문화공원,56
15,2,상왕십리,180
16,2,왕십리,69
17,2,한양대,77
18,2,뚝섬,291
19,2,성수,460
20,2,건대입구,261
21,2,구의,390
22,2,강변,174
23,2,잠실나루,1125
24,2,잠실,652
25,2,신천,435
26,2,종합운동장,255
27,2,선릉,63
28,2,역삼,38
29,2,강남,78
30,2,교대,29
31,2,서초,44
32,2,방배,59
33,2,사당,161
34,2,낙성대,92
35,2,서울대입구,74
36,2,봉천,109
37,2,신림,90
38,2,신대방,460
39,2,구로디지털단지,294
40,2,대림,351
41,2,신도림,630
42,2,문래,113
43,2,영등포구청,36
44,2,당산,194
45,2,합정,85
46,2,홍대입구,245
47,2,신촌(지하),90
48,2,이대,36
49,2,아현,50
50,2,충정로,22
51,2,신답,50
52,2,신설동,28
53,2,도림천,14
54,2,양천구청,209
55,2,신정네거리,98
56,2,용두,163
57,3,지축,70
58,3,구파발,700
59,3,연신내,254
60,3,불광,70
61,3,녹번,74
62,3,홍제,119
63,3,무악재,18
64,3,독립문,53
65,3,경복궁,52
66,3,안국,12
67,3,종로3가,17
68,3,동대입구,67
69,3,약수,17
70,3,금호,44
71,3,옥수,75
72,3,압구정,34
73,3,신사,65
74,3,잠원,30
75,3,교대,34
76,3,남부터미널,51
77,3,양재,93
78,3,매봉,24
79,3,도곡,105
80,3,대치,47
81,3,학여울,57
82,3,대청,166
83,3,일원,49
84,3,수서,156
85,3,가락시장,261
86,3,경찰병원,95
87,3,오금,179
88,4,당고개,125
89,4,상계,120
90,4,노원,170
91,4,창동,220
92,4,쌍문,96
93,4,수유,440
94,4,미아,97
95,4,미아삼거리,110
96,4,길음,42
97,4,성신여대입구,32
98,4,한성대입구,12
99,4,혜화,13
100,4,동대문,38
101,4,충무로,10
102,4,서울역,20
103,4,숙대입구,10
104,4,삼각지,7
105,4,신용산,44
106,4,이촌,136
107,4,동작,70
108,4,총신대입구,71
109,4,사당,52
110,4,남태령,10
111,5,방화,83
112,5,개화산,54
113,5,김포공항,24
114,5,송정,56
115,5,마곡,364
116,5,발산,142
117,5,우장산,49
118,5,화곡,196
119,5,까치산,99
120,5,신정,12
121,5,목동,210
122,5,오목교,291
123,5,양평,96
124,5,영등포구청,40
125,5,영등포시장,63
126,5,신길,75
127,5,여의도,89
128,5,여의나루,49
129,5,마포,50
130,5,공덕,70
131,5,애오개,35
132,5,충정로,58
133,5,서대문,89
134,5,청구,28
135,5,신금호,4
136,5,행당,42
137,5,왕십리,32
138,5,마장,69
139,5,답십리,221
140,5,장한평,262
141,5,군자,178
142,5,아차산,92
143,5,광나루,95
144,5,천호,535
145,5,강동,207
146,5,길동,123
147,5,굽은다리,75
148,5,명일,67
149,5,고덕,185
150,5,상일동,241
151,5,둔촌동,277
152,5,올림픽공원(한국체대),150
153,5,방이,68
154,5,개롱,116
155,5,거여,140
156,5,마천,25
157,5,강일,138
158,5,미사,820
159,5,하남풍산,82
160,5,하남시청,70
161,5,하남검단산,50
162,6,응암,162
163,6,역촌,148
164,6,불광,116
165,6,독바위,7
166,6,구산,126
167,6,새절,176
168,6,증산,80
169,6,디지털미디어시티,214
170,6,월드컵경기장,168
171,6,마포구청,415
172,6,망원,221
173,6,합정,250
174,6,상수,30
175,6,광흥창,65
176,6,대흥,22
177,6,효창공원앞,24
178,6,삼각지,47
179,6,녹사평,54
180,6,이태원,10
181,6,한강진,20
182,6,버티고개,7
183,6,신당,46
184,6,동묘앞,29
185,6,창신,20
186,6,보문,21
187,6,안암,24
188,6,고려대,97
189,6,월곡,132
190,6,상월곡,49
191,6,돌곶이,123
192,6,석계,222
193,6,화랑대,225
194,6,봉화산,80
195,7,장암,110
196,7,도봉산,50
197,7,수락산,210
198,7,마들,249
199,7,노원,353
200,7,중계,258
201,7,하계,125
202,7,공릉,100
203,7,태릉입구,176
204,7,먹골,105
205,7,중화,145
206,7,상봉,106
207,7,면목,83
208,7,사가정,120
209,7,용마산,30
210,7,중곡,73
211,7,어린이대공원,229
212,7,건대입구,296
213,7,뚝섬유원지,390
214,7,청담,113
215,7,강남구청,25
216,7,학동,19
217,7,논현,20
218,7,반포,55
219,7,고속터미널,60
220,7,내방,82
221,7,총신대입구,147
222,7,남성,22
223,7,숭실대입구,10
224,7,상도,26
225,7,장승배기,38
226,7,신대방삼거리,57
227,7,보라매,47
228,7,신풍,173
229,7,대림,113
230,7,남구로,77
231,7,가산디지털단지,110
232,7,철산,376
233,7,광명사거리,204
234,7,천왕,440
235,7,온수,67
236,7,까치울,137
237,7,부천종합운동장,71
238,7,춘의,131
239,7,신중동,434
240,7,부천시청,333
241,7,상동,375
242,7,삼산체육관,281
243,7,굴포천,280
244,7,부평구청,88
245,8,암사,100
246,8,강동구청,260
247,8,몽촌토성,166
248,8,잠실,250
249,8,석촌,111
250,8,송파,114
251,8,가락시장,221
252,8,문정,70
253,8,장지,147
254,8,복정,180
255,8,산성,43
256,8,남한산성입구,52
257,8,단대오거리,103
258,8,신흥,55
259,8,수진,36
260,8,모란,61
