"역번호","역명","외부역번호","호선","문화공간여부","휠체어리프트여부","만남의장소여부","환승주차장여부","자전거보관소여부","엘리베이터여부","티러기지여부","무인민원발급기여부","환전키오스크여부","수유실여부"
"0150",서울역,"133","01호선",N,N,Y,N,N,Y,Y,N,N,N
"0151",시청,"132","01호선",N,N,Y,N,N,Y,N,N,N,N
"0152",종각,"131","01호선",N,N,N,N,Y,Y,N,N,N,N
"0153",종로3가,"130","01호선",Y,N,N,N,N,Y,N,N,N,Y
"0154",종로5가,"129","01호선",N,N,N,N,N,Y,N,N,N,N
"0155",동대문,"128","01호선",N,N,Y,N,Y,Y,N,N,N,Y
"0156",신설동,"126","01호선",N,N,N,N,N,Y,N,N,N,N
"0157",제기동,"125","01호선",N,N,N,N,Y,Y,N,N,N,N
"0158",청량리,"124","01호선",N,N,N,N,N,Y,N,N,N,N
"0159",동묘앞,"127","01호선",N,N,N,N,Y,Y,N,N,N,N
"0200",까치산,"234-4","02호선",N,Y,N,N,N,N,N,N,N,Y
"0201",시청,"201","02호선",N,N,N,N,N,Y,N,N,N,N
"0202",을지로입구,"202","02호선",N,N,N,N,N,Y,N,N,Y,N
"0203",을지로3가,"203","02호선",N,N,N,N,N,Y,N,N,Y,N
"0204",을지로4가,"204","02호선",N,N,Y,N,N,Y,N,N,N,N
"0205",동대문역사문화공원,"205","02호선",N,N,N,N,Y,Y,N,N,Y,N
"0206",신당,"206","02호선",N,N,Y,N,N,Y,N,N,N,N
"0207",상왕십리,"207","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0208",왕십리,"208","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0209",한양대,"209","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0210",뚝섬,"210","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0211",성수,"211","02호선",Y,N,Y,N,Y,Y,N,N,N,Y
"0212",건대입구,"212","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0213",구의,"213","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0214",강변,"214","02호선",N,N,N,N,Y,Y,N,N,N,Y
"0215",잠실나루,"215","02호선",N,N,Y,Y,Y,Y,N,N,N,N
"0216",잠실,"216","02호선",N,N,N,N,Y,Y,Y,N,Y,Y
"0217",잠실새내,"217","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0218",종합운동장,"218","02호선",Y,N,Y,N,N,Y,Y,N,N,N
"0219",삼성,"219","02호선",N,N,N,N,Y,Y,N,N,Y,Y
"0220",선릉,"220","02호선",Y,N,N,N,N,Y,N,N,Y,N
"0221",역삼,"221","02호선",N,N,Y,N,N,Y,N,N,Y,N
"0222",강남,"222","02호선",N,N,N,N,N,Y,Y,N,Y,Y
"0223",교대,"223","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0224",서초,"224","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0225",방배,"225","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0226",사당,"226","02호선",Y,N,Y,N,Y,Y,N,N,N,N
"0227",낙성대,"227","02호선",N,N,Y,N,N,Y,N,N,N,N
"0228",서울대입구,"228","02호선",Y,N,Y,N,Y,Y,N,N,N,N
