노선명,역명,대합실면적,승강장면적
1,서울역,8725.0,2080.0
1,시청,6863.0,3784.0
1,종각,7737.43,2672.81
1,종로3가,5628.0,3683.0
1,종로5가,7822.0,2208.0
1,동대문,3400.0,2090.0
1,동묘앞,5700.56,4194.19
1,신설동,4164.0,3076.0
1,제기동,5105.0,2815.0
1,청량리,5354.0,1771.0
2,시청,9008.0,3553.0
2,을지로입구,7362.26,3046.4
2,을지로3가,4522.0,2664.0
2,을지로4가,4121.0,2501.0
2,동대문역사문화공원,4972.0,1568.0
2,신당,3701.0,2061.0
2,상왕십리,4041.0,1917.0
2,왕십리,7275.0,2602.0
2,한양대,3807.0,2167.0
2,뚝섬,4961.0,3423.0
2,성수,6807.0,2478.0
2,건대입구,3969.0,2574.0
2,구의,3236.0,2348.0
2,강변,1791.0,2362.0
2,잠실나루,2408.0,2283.0
2,잠실,6284.0,4048.0
2,잠실새내,4141.0,2562.0
2,종합운동장,13442.0,5064.0
2,삼성,4777.0,1670.0
2,선릉,4153.0,2333.0
2,역삼,6173.89,2179.0
2,강남,4018.0,2374.0
2,교대,6307.0,3005.0
2,서초,5202.0,2389.0
2,방배,3796.0,2155.0
2,사당,7285.0,5721.0
2,낙성대,3631.0,1994.0
2,서울대입구,4679.0,1750.0
2,봉천,3491.0,1743.0
2,신림,4309.0,1957.0
2,신대방,3342.0,2479.0
2,구로디지털단지,3411.0,2343.0
2,대림,4009.0,2469.0
2,신도림,11880.0,7175.0
2,문래,3916.0,2297.0
2,영등포구청,4283.0,2332.0
2,당산,3635.0,2750.0
2,합정,7263.0,4978.0
2,홍대입구,5829.0,1892.0
2,신촌,5570.0,2050.0
2,이대,4276.0,2215.0
2,아현,4984.0,1483.0
2,충정로,5165.95,2398.0
2,용답,625.0,798.0
2,신답,700.0,1503.0
2,용두,3180.0,2910.0
2,신설동,2728.0,1208.0
2,도림천,2252.98,1306.0
2,양천구청,2337.0,2766.0
2,신정네거리,5095.92,1765.0
2,까치산,0.0,791.0
3,지축,645.0,938.0
3,구파발,3299.0,1858.0
3,연신내,3277.0,1649.0
3,불광,4263.0,2123.0
3,녹번,3249.0,1628.0
3,홍제,7220.0,1876.0
3,무악재,4442.61,1798.2
3,독립문,3690.5,1603.77
3,경복궁,8561.17,2653.0
3,안국,8077.64,2361.0
3,종로3가,11269.75,1422.007
3,을지로3가,6720.0,1640.0
3,충무로,0.0,3860.0
3,동대입구,5768.76,2015.0
3,약수,3538.48,1640.0
3,금호,3284.0,1816.0
3,옥수,9537.51,1927.0
3,압구정,3506.0,1993.0
3,신사,4236.0,2059.0
3,잠원,3503.0,1815.0
3,고속터미널,11984.9,3799.0
3,교대,6980.91,2560.0
3,남부터미널,6131.539,1778.0
3,양재,3587.0,1968.0
3,매봉,3934.0,2547.0
3,도곡,8874.8,4021.0
3,대치,3509.28,2997.0
3,학여울,4941.6,3270.8
3,대청,5977.531,2623.0
3,일원,7554.04,3019.0
3,수서,5691.0,3334.0
3,가락시장,12557.98,3508.0
3,경찰병원,6914.38,2886.75
3,오금,11009.45,2730.0
4,불암산,5900.4,2460.0
4,상계,4141.15,2424.0
4,노원,3223.0,2978.0
4,창동,4425.94,1971.0
4,쌍문,3709.0,2089.0
4,수유,3951.0,2373.0
4,미아,3702.0,2064.0
4,미아사거리,4203.0,2583.0
4,길음,3742.0,2195.0
4,성신여대입구,3967.0,2362.0
4,한성대입구,3246.0,1635.0
4,혜화,3598.0,1898.0
4,동대문,6110.3,2108.0
4,동대문역사문화공원,9676.77,3056.0
4,충무로,9331.34,2474.0
4,명동,3299.4,2832.0
4,회현,5253.0,2702.0
4,서울역,5833.0,2867.0
4,숙대입구,3748.0,2026.0
4,삼각지,4787.0,2929.0
4,신용산,3631.0,2169.0
4,이촌,3747.0,2128.0
4,동작,5144.16,5392.0
4,총신대입구,5589.0,2360.0
4,사당,6738.0,2825.0
4,남태령,4137.0,1949.0
5,방화,5100.0,2302.74
5,개화산,3851.98,2129.16
5,김포공항,7521.55,3486.98
5,송정,4206.44,2308.77
5,마곡,6567.13,2337.04
5,발산,4432.57,2375.0
5,우장산,3634.1,1990.6
5,화곡,7144.92,1982.74
5,까치산,4337.1,2757.8
5,신정,4825.83,1589.55
5,목동,5364.9,2027.8
5,오목교,9946.8,2458.4
5,양평,5891.88,2047.6
5,영등포구청,20239.47,2813.34
5,영등포시장,8386.74,3054.3
5,신길,5432.21,3503.37
5,여의도,10197.67,2691.9
5,여의나루,6638.4,2322.8
5,마포,4758.18,1995.22
5,공덕,9683.54,1696.6
5,애오개,4013.22,1833.22
5,충정로,7547.57,1920.11
5,서대문,4887.19,1920.11
5,광화문,7805.91,1635.5
5,종로3가,6661.83,2526.18
5,을지로4가,9382.08,2110.65
5,동대문역사문화공원,5001.11,2561.68
5,청구,4014.44,1914.0
5,신금호,2578.62,2438.95
5,행당,4686.13,2180.6
5,왕십리,9949.65,3268.1
5,마장,5147.35,1976.12
5,답십리,5981.86,1876.4
5,장한평,6192.63,2260.5
5,군자,6325.2,2729.2
5,아차산,4818.7,1835.45
5,광나루,5765.2,2230.7
5,천호,9920.1,3267.8
5,강동,15965.0,3019.55
5,길동,3302.33,1704.0
5,굽은다리,3012.4,1826.2
5,명일,3284.1,1806.2
5,고덕,4001.85,2286.2
5,상일동,6198.61,2039.2
5,강일,6046.24,2316.18
5,미사,11044.73,2976.86
5,하남풍산,5956.74,2069.8
5,하남시청,6496.06,2354.48
5,하남검단산,9518.12,2633.52
5,둔촌동,3560.31,1782.08
5,올림픽공원,4377.94,2121.5
5,방이,3925.64,1863.79
5,오금,5097.04,2570.0
5,개롱,4560.22,1880.0
5,거여,4188.27,1816.33
5,마천,2656.56,1809.29
6,응암,4799.02,3351.85
6,역촌,2192.25,1926.49
6,불광,5039.84,1397.5
6,독바위,2545.27,1363.41
6,연신내,3241.0,2419.54
6,구산,1743.35,1661.42
6,새절,4568.73,2421.49
6,증산,3735.6,1987.5
6,디지털미디어시티,5694.15,3295.6
6,월드컵경기장,7829.85,3376.03
6,마포구청,6302.13,2121.44
6,망원,3618.46,1902.37
6,합정,6510.83,2435.42
6,상수,4181.76,2012.0
6,광흥창,5693.2,1982.52
6,대흥,7001.38,2146.16
6,공덕,5722.06,4567.09
6,효창공원앞,4771.62,2022.17
6,삼각지,8675.6,2453.0
6,녹사평,7424.42,2042.6
6,이태원,4863.77,1934.38
6,한강진,4996.87,2444.26
6,버티고개,3648.82,2629.97
6,약수,7183.57,1909.73455
6,청구,2080.7,2429.1
6,신당,15210.51,2984.7
6,동묘앞,11257.12,2743.52
6,창신,4169.86,2040.5
6,보문,4603.61,1983.98
6,안암,6522.98,1777.83
6,고려대,5721.2,2425.38
6,월곡,4663.17,1882.74
6,상월곡,7146.05,2382.67
6,돌곶이,4274.8,2160.01
6,석계,9763.15,3067.42
6,태릉입구,6242.95,3288.9
6,화랑대,7497.2,2610.02
6,봉화산,6837.05,2962.76
6,신내,106.16,752.28
7,장암,504.0,999.05
7,도봉산,4626.34,2344.7
7,수락산,8135.05,2353.16
7,마들,7494.81,2100.75
7,노원,8884.09,2075.85
7,중계,7103.76,2042.55
7,하계,7160.93,2061.15
7,공릉,6386.29,2168.29
7,태릉입구,8388.71,2667.92
7,먹골,7294.52,1971.2
7,중화,7020.19,1909.53
7,상봉,7251.41,1755.54
7,면목,4739.0,1847.0
7,사가정,4314.2,1977.4
7,용마산,4410.8,2032.8
7,중곡,4291.54,1631.97
7,군자,5677.38,2276.07
7,어린이대공원,7808.41,1870.9
7,건대입구,5154.3,2145.61
7,자양,3301.64,2466.5
7,청담,14394.53,2225.3
7,강남구청,7987.99,2371.32
7,학동,6935.02,2358.1
7,논현,9388.63,2445.93
7,반포,10349.1,2052.72
7,고속터미널,9484.14,3426.81
7,내방,7871.49,2092.4
7,이수,12110.1,2724.22
7,남성,6731.24,2120.98
7,숭실대입구,4425.26,2095.34
