노선명,역명,에스컬레이터 대수
1호선,동대문,1
1호선,동묘앞,12
1호선,서울역,5
1호선,시청,3
1호선,제기동,2
1호선,종각,2
1호선,종로3가,4
1호선,청량리,6
2호선,강변,2
2호선,건대입구,2
2호선,교대,4
2호선,구로디지털단지,4
2호선,구의,6
2호선,낙성대,8
2호선,당산,1
2호선,대림,6
2호선,동대문역사문화공원,2
2호선,뚝섬,8
2호선,문래,4
2호선,방배,2
2호선,봉천,8
2호선,사당,14
2호선,삼성,4
2호선,상왕십리,8
2호선,서울대입구,8
2호선,서초,8
2호선,선릉,2
2호선,성수,8
2호선,시청,6
2호선,신당,2
2호선,신대방,8
2호선,신도림,9
2호선,신림,9
2호선,신정네거리,4
2호선,신촌,4
2호선,아현,2
2호선,양천구청,2
2호선,역삼,14
2호선,영등포구청,4
2호선,왕십리,8
2호선,용두,12
2호선,을지로4가,2
2호선,을지로입구,6
2호선,이대,4
2호선,잠실,8
2호선,잠실나루,4
2호선,잠실새내,11
2호선,종합운동장,5
2호선,충정로,4
2호선,한양대,2
2호선,합정,4
2호선,홍대입구,8
3호선,가락시장,22
3호선,경복궁,10
3호선,경찰병원,20
3호선,고속터미널,24
3호선,교대,2
3호선,구파발,4
3호선,금호,6
3호선,남부터미널,2
3호선,녹번,2
3호선,대청,4
3호선,대치,8
3호선,도곡,8
3호선,독립문,8
3호선,동대입구,4
3호선,매봉,4
3호선,불광,2
3호선,수서,12
3호선,신사,6
3호선,안국,10
3호선,압구정,9
3호선,약수,2
3호선,양재,2
3호선,연신내,4
3호선,오금,15
3호선,옥수,4
3호선,을지로3가,2
3호선,일원,6
3호선,종로3가,6
3호선,학여울,2
4호선,길음,3
4호선,남태령,2
4호선,노원,8
4호선,당고개,4
4호선,동대문,10
4호선,동대문역사문화공원,6
4호선,명동,6
4호선,미아,6
4호선,미아사거리,2
4호선,사당,7
4호선,삼각지,4
4호선,상계,4
4호선,서울역,4
4호선,성신여대입구,4
4호선,수유,4
4호선,신용산,9
4호선,쌍문,6
4호선,이촌,4
4호선,창동,6
4호선,총신대입구,4
4호선,충무로,24
4호선,한성대입구,2
4호선,혜화,4
4호선,회현,6
5호선,강동,12
5호선,강일,16
5호선,개롱,2
5호선,거여,3
5호선,고덕,6
5호선,공덕,11
5호선,광나루,4
5호선,광화문,4
5호선,군자,8
5호선,굽은다리,4
5호선,길동,3
5호선,김포공항,8
5호선,까치산,12
5호선,답십리,4
5호선,동대문역사문화공원,5
5호선,둔촌동,4
5호선,마곡,12
5호선,마장,4
5호선,마천,10
5호선,마포,10
5호선,명일,2
5호선,목동,4
5호선,미사,22
5호선,방이,2
5호선,방화,6
5호선,상일동,18
5호선,서대문,10
5호선,송정,4
5호선,신금호,12
5호선,신길,9
5호선,신정,10
5호선,아차산,8
5호선,애오개,6
5호선,양평,8
5호선,여의나루,11
5호선,여의도,4
5호선,영등포구청,14
5호선,영등포시장,8
5호선,오금,7
5호선,오목교,10
5호선,올림픽공원,4
5호선,왕십리,8
5호선,우장산,4
5호선,을지로4가,11
5호선,장한평,4
5호선,종로3가,10
5호선,천호,16
5호선,충정로,4
5호선,하남검단산,20
5호선,하남시청,28
5호선,하남풍산,24
5호선,행당,8
5호선,화곡,4
6호선,고려대,12
6호선,공덕,6
6호선,광흥창,9
6호선,구산,4
6호선,녹사평,13
6호선,대흥,6
6호선,독바위,8
6호선,돌곶이,4
6호선,동묘앞,12
6호선,디지털미디어시티,8
6호선,마포구청,12
6호선,망원,2
6호선,버티고개,4
6호선,보문,2
6호선,봉화산,4
6호선,불광,12
6호선,삼각지,4
6호선,상수,10
6호선,상월곡,6
6호선,새절,4
6호선,석계,14
6호선,신내,2
6호선,신당,14
6호선,안암,6
6호선,약수,11
6호선,역촌,6
6호선,연신내,6
6호선,월곡,12
6호선,월드컵경기장,12
6호선,응암,4
6호선,이태원,4
6호선,증산,6
6호선,창신,3
6호선,청구,10
6호선,태릉입구,17
6호선,한강진,4
6호선,합정,16
6호선,화랑대,4
6호선,효창공원앞,6
7호선,가산디지털단지,18
7호선,강남구청,7
7호선,건대입구,11
7호선,고속터미널,21
7호선,공릉,8
7호선,광명사거리,2
7호선,군자,6
7호선,남구로,12
7호선,남성,14
7호선,내방,10
7호선,노원,15
7호선,논현,19
7호선,대림,13
7호선,마들,8
7호선,먹골,6
7호선,면목,6
7호선,반포,6
7호선,보라매,4
7호선,사가정,10
7호선,상도,11
7호선,상봉,6
7호선,수락산,7
7호선,숭실대입구,12
7호선,신대방삼거리,12
7호선,신풍,4
7호선,어린이대공원,6
7호선,온수,16
7호선,용마산,8
7호선,이수,23
7호선,자양,4
7호선,장승배기,14
7호선,중계,10
7호선,중곡,4
7호선,중화,6
7호선,천왕,6
7호선,철산,6
7호선,청담,16
7호선,태릉입구,8
7호선,하계,6
7호선,학동,10
8호선,가락시장,12
8호선,강동구청,5
8호선,남위례,7
8호선,남한산성입구,4
8호선,단대오거리,6
8호선,모란,2
8호선,몽촌토성,8
8호선,문정,8
8호선,복정,5
8호선,산성,13
8호선,송파,4
8호선,암사,4
8호선,암사역사공원,12
8호선,잠실,5
8호선,장지,8
9호선,개화,4
9호선,김포공항,18
9호선,공항시장,18
9호선,신방화,22
9호선,마곡나루,14
9호선,양천향교,27
9호선,가양,26
9호선,증미,18
9호선,등촌,32
9호선,염창,12
9호선,신목동,10
9호선,선유도,13
9호선,당산,34
9호선,국회의사당,16
9호선,여의도,16
9호선,샛강,12
9호선,노량진,22
9호선,노들,16
9호선,흑석,16
9호선,동작,21
9호선,구반포,12
9호선,신반포,14
9호선,고속터미널,32
9호선,사평,18
9호선,신논현,22
9호선,언주,28
9호선,선정릉,12
9호선,삼성중앙,22
9호선,봉은사,24
9호선,종합운동장,18
9호선,삼전,14
9호선,석촌고분,6
9호선,석촌,25
9호선,송파나루,6
9호선,한성백제,10
9호선,올림픽공원,14
9호선,둔춘오륜,8
9호선,중앙보훈병원,10
