노선명,역명,자전거보관소 대수
1호선,서울역,10
1호선,시청,25
1호선,종각,30
1호선,종로3가,60
1호선,종로5가,5
1호선,동대문,30
1호선,신설동,66
1호선,제기동,164
1호선,청량리,54
1호선,동묘앞,6
2호선,을지로입구,42
2호선,을지로3가,15
2호선,을지로4가,49
2호선,동대문역사문화공원,56
2호선,상왕십리,180
2호선,왕십리,69
2호선,한양대,77
2호선,뚝섬,291
2호선,성수,460
2호선,건대입구,261
2호선,구의,390
2호선,강변,174
2호선,잠실나루,1125
2호선,잠실,652
2호선,신천,435
2호선,종합운동장,255
2호선,선릉,63
2호선,역삼,38
2호선,강남,78
2호선,교대,29
2호선,서초,44
2호선,방배,59
2호선,사당,161
2호선,낙성대,92
2호선,서울대입구,74
2호선,봉천,109
2호선,신림,90
2호선,신대방,460
2호선,구로디지털단지,294
2호선,대림,351
2호선,신도림,630
2호선,문래,113
2호선,영등포구청,36
2호선,당산,194
2호선,합정,85
2호선,홍대입구,245
2호선,신촌(지하),90
2호선,이대,36
2호선,아현,50
2호선,충정로,22
2호선,신답,50
2호선,신설동,28
2호선,도림천,14
2호선,양천구청,209
2호선,신정네거리,98
2호선,용두,163
3호선,지축,70
3호선,구파발,700
3호선,연신내,254
3호선,불광,70
3호선,녹번,74
3호선,홍제,119
3호선,무악재,18
3호선,독립문,53
3호선,경복궁,52
3호선,안국,12
3호선,종로3가,17
3호선,동대입구,67
3호선,약수,17
3호선,금호,44
3호선,옥수,75
3호선,압구정,34
3호선,신사,65
3호선,잠원,30
3호선,교대,34
3호선,남부터미널,51
3호선,양재,93
3호선,매봉,24
3호선,도곡,105
3호선,대치,47
3호선,학여울,57
3호선,대청,166
3호선,일원,49
3호선,수서,156
3호선,가락시장,261
3호선,경찰병원,95
3호선,오금,179
4호선,당고개,125
4호선,상계,120
4호선,노원,170
4호선,창동,220
4호선,쌍문,96
4호선,수유,440
4호선,미아,97
4호선,미아삼거리,110
4호선,길음,42
4호선,성신여대입구,32
4호선,한성대입구,12
4호선,혜화,13
4호선,동대문,38
4호선,충무로,10
4호선,서울역,20
4호선,숙대입구,10
4호선,삼각지,7
4호선,신용산,44
4호선,이촌,136
4호선,동작,70
4호선,총신대입구,71
4호선,사당,52
4호선,남태령,10
5호선,방화,83
5호선,개화산,54
5호선,김포공항,24
5호선,송정,56
5호선,마곡,364
5호선,발산,142
5호선,우장산,49
5호선,화곡,196
5호선,까치산,99
5호선,신정,12
5호선,목동,210
5호선,오목교,291
5호선,양평,96
5호선,영등포구청,40
5호선,영등포시장,63
5호선,신길,75
5호선,여의도,89
5호선,여의나루,49
5호선,마포,50
5호선,공덕,70
5호선,애오개,35
5호선,충정로,58
5호선,서대문,89
5호선,청구,28
5호선,신금호,4
5호선,행당,42
5호선,왕십리,32
5호선,마장,69
5호선,답십리,221
5호선,장한평,262
5호선,군자,178
5호선,아차산,92
5호선,광나루,95
5호선,천호,535
5호선,강동,207
5호선,길동,123
5호선,굽은다리,75
5호선,명일,67
5호선,고덕,185
5호선,상일동,241
5호선,둔촌동,277
5호선,올림픽공원(한국체대),150
5호선,방이,68
5호선,개롱,116
5호선,거여,140
5호선,마천,25
5호선,강일,138
5호선,미사,820
5호선,하남풍산,82
5호선,하남시청,70
5호선,하남검단산,50
6호선,응암,162
6호선,역촌,148
6호선,불광,116
6호선,독바위,7
6호선,구산,126
6호선,새절,176
6호선,증산,80
6호선,디지털미디어시티,214
6호선,월드컵경기장,168
6호선,마포구청,415
6호선,망원,221
6호선,합정,250
6호선,상수,30
6호선,광흥창,65
6호선,대흥,22
6호선,효창공원앞,24
6호선,삼각지,47
6호선,녹사평,54
6호선,이태원,10
6호선,한강진,20
6호선,버티고개,7
6호선,신당,46
6호선,동묘앞,29
6호선,창신,20
6호선,보문,21
6호선,안암,24
6호선,고려대,97
