노선명,역명,화장실개수
1호선,동대문,1
1호선,동묘앞,4
1호선,서울,1
1호선,시청,1
1호선,신설동,1
1호선,제기동,1
1호선,종각,2
1호선,종로3가,2
1호선,종로5가,1
1호선,청량리,1
2호선,강남,1
2호선,강변,1
2호선,건대입구,1
2호선,교대,1
2호선,구로디지털단지,1
2호선,구의,1
2호선,낙성대,1
2호선,당산,1
2호선,대림,1
2호선,도림천,1
2호선,동대문역사문화공원,1
2호선,뚝섬,1
2호선,문래,1
2호선,방배,1
2호선,봉천,1
2호선,사당,2
2호선,삼성,1
2호선,상왕십리,1
2호선,서울대입구,1
2호선,서초,1
2호선,선릉,1
2호선,성수,1
2호선,시청,2
2호선,신답,1
2호선,신당,1
2호선,신대방,1
2호선,신도림,2
2호선,신림,1
2호선,신설동,1
2호선,신정네거리,1
2호선,신촌,1
2호선,아현,1
2호선,양천구청,1
2호선,역삼,1
2호선,영등포구청,1
2호선,왕십리,1
2호선,용답,1
2호선,용두,4
2호선,을지로3가,1
2호선,을지로4가,1
2호선,을지로입구,1
2호선,이대,1
2호선,잠실,1
2호선,잠실나루,1
2호선,잠실새내,1
2호선,종합운동장,2
2호선,충정로,1
2호선,한양대,1
2호선,합정,1
2호선,홍대입구,1
3호선,가락시장,2
3호선,경복궁,1
3호선,경찰병원,2
3호선,교대,1
3호선,구파발,1
3호선,금호,1
3호선,남부터미널,1
3호선,녹번,1
3호선,대청,1
3호선,대치,1
3호선,도곡,1
3호선,독립문,1
3호선,동대입구,1
3호선,매봉,1
3호선,무악재,1
3호선,불광,1
3호선,수서,1
3호선,신사,1
3호선,안국,1
3호선,압구정,1
3호선,약수,1
3호선,양재,1
3호선,연신내,1
3호선,오금,2
3호선,옥수,2
3호선,을지로3가,1
3호선,일원,1
3호선,잠원,1
3호선,종로3가,1
3호선,학여울,1
3호선,홍제,2
4호선,길음,1
4호선,남태령,1
4호선,노원,1
4호선,당고개,2
4호선,동대문,1
4호선,동대문역사문화공원,2
4호선,동작,1
4호선,명동,1
4호선,미아,1
4호선,미아사거리,1
4호선,사당,3
4호선,삼각지,1
4호선,상계,1
4호선,서울,1
4호선,성신여대입구,1
4호선,수유,1
4호선,숙대입구,1
4호선,신용산,1
4호선,쌍문,1
4호선,이촌,1
4호선,창동,1
4호선,총신대입구,1
4호선,충무로,1
4호선,한성대입구,1
4호선,혜화,1
4호선,회현,1
5호선,강동,1
5호선,강일,2
5호선,개롱,1
