노선명,역명,물품보관함 개수
1호선,동대문,25
1호선,동묘앞,9
1호선,서울역,64
1호선,시청,44
1호선,신설동,9
1호선,제기동,9
1호선,종각,50
1호선,종로가,66
1호선,청량리,17
2호선,강남,78
2호선,강변,59
2호선,건대입구,66
2호선,교대,22
2호선,구로디지털단지,17
2호선,구의,13
2호선,낙성대,13
2호선,당산,13
2호선,대림,17
2호선,도림천,9
2호선,동대문역사문화공원,60
2호선,뚝섬,39
2호선,문래,9
2호선,방배,13
2호선,봉천,13
2호선,사당,26
2호선,삼성,64
2호선,상왕십리,9
2호선,서울대입구,22
2호선,서초,13
2호선,선릉,34
2호선,성수,45
2호선,시청,25
2호선,신답,9
2호선,신당,13
2호선,신대방,13
2호선,신도림,79
2호선,신림,50
2호선,신설동,9
2호선,신정네거리,9
2호선,신촌,71
2호선,아현,9
2호선,양천구청,9
2호선,역삼,30
2호선,영등포구청,13
2호선,왕십리,17
2호선,용답,9
2호선,용두,9
2호선,을지로가,39
2호선,을지로입구,50
2호선,이대,21
2호선,잠실,108
2호선,잠실나루,13
2호선,잠실새내,21
2호선,종합운동장,92
2호선,충정로,15
2호선,한양대,9
2호선,합정,25
2호선,홍대입구,171
3호선,가락시장,13
3호선,경복궁,76
3호선,경찰병원,9
3호선,고속터미널,72
3호선,교대,13
3호선,구파발,13
3호선,금호,9
3호선,남부터미널,21
3호선,녹번,9
3호선,대청,9
3호선,대치,9
3호선,도곡,13
3호선,독립문,9
3호선,동대입구,13
3호선,매봉,9
3호선,무악재,9
3호선,불광,9
3호선,수서,21
3호선,신사,68
3호선,안국,83
3호선,압구정,43
3호선,약수,9
3호선,양재,26
3호선,연신내,25
3호선,오금,9
3호선,옥수,9
3호선,을지로가,13
3호선,일원,9
3호선,잠원,9
3호선,종로가,17
3호선,지축,9
3호선,학여울,9
3호선,홍제,18
4호선,길음,17
4호선,남태령,9
4호선,노원,21
4호선,당고개,9
4호선,동대문,47
4호선,동대문역사문화공원,28
4호선,동작,15
4호선,명동,126
4호선,미아,9
4호선,미아사거리,26
4호선,사당,26
4호선,삼각지,13
4호선,상계,13
4호선,서울역,26
4호선,성신여대입구,42
4호선,수유,13
4호선,숙대입구,13
4호선,신용산,13
4호선,쌍문,9
4호선,이촌,13
4호선,창동,9
4호선,총신대입구,26
4호선,충무로,34
4호선,한성대입구,13
4호선,혜화,128
4호선,회현,46
5호선,강동,13
5호선,개롱,9
5호선,개화산,9
5호선,거여,9
5호선,고덕,9
5호선,공덕,22
5호선,광나루,13
5호선,광화문,88
5호선,군자,13
5호선,굽은다리,13
5호선,길동,13
5호선,김포공항,42
5호선,까치산,17
5호선,답십리,13
5호선,동대문역사문화공원,9
5호선,둔촌동,13
5호선,마곡,9
5호선,마장,9
5호선,마천,9
5호선,마포,13
5호선,명일,9
5호선,목동,17
5호선,발산,13
5호선,방이,9
5호선,방화,9
5호선,상일동,9
5호선,서대문,17
5호선,송정,9
5호선,신금호,9
5호선,신길,9
5호선,신정,9
5호선,아차산,13
5호선,애오개,9
5호선,양평,9
5호선,여의나루,56
5호선,여의도,38
5호선,영등포구청,9
5호선,영등포시장,9
5호선,오목교,17
5호선,올림픽공원,38
5호선,왕십리,26
5호선,우장산,13
5호선,을지로가,13
5호선,장한평,13
5호선,종로가,17
5호선,천호,39
5호선,청구,9
5호선,충정로,9
5호선,행당,9
5호선,화곡,17
6호선,고려대,13
6호선,공덕,21
6호선,광흥창,9
6호선,구산,9
6호선,녹사평,21
6호선,대흥,9
6호선,독바위,9
6호선,돌곶이,9
6호선,동묘앞,17
6호선,디지털미디어시티,13
6호선,마포구청,9
6호선,망원,18
6호선,버티고개,9
6호선,보문,9
6호선,봉화산,9
6호선,불광,9
6호선,삼각지,9
6호선,상수,13
6호선,상월곡,9
6호선,새절,9
6호선,석계,9
6호선,신당,9
6호선,안암,13
6호선,약수,9
6호선,역촌,9
6호선,월곡,13
6호선,월드컵경기장,13
6호선,응암,13
6호선,이태원,51
6호선,증산,9
6호선,창신,9
6호선,한강진,13
6호선,합정,25
6호선,화랑대,13
6호선,효창공원앞,9
7호선,가산디지털단지,26
7호선,강남구청,17
7호선,건대입구,39
7호선,고속터미널,26
7호선,공릉,13
7호선,광명사거리,26
7호선,남구로,13
7호선,남성,9
7호선,내방,13
7호선,노원,21
7호선,논현,17
7호선,대림,13
7호선,도봉산,9
7호선,뚝섬유원지,18
7호선,마들,13
7호선,먹골,9
7호선,면목,13
7호선,반포,9
7호선,보라매,13
7호선,사가정,13
7호선,상도,9
7호선,상봉,21
7호선,수락산,9
7호선,숭실대입구,13
7호선,신대방삼거리,13
7호선,신풍,13
7호선,어린이대공원,13
7호선,온수,13
7호선,용마산,9
7호선,이수,17
7호선,장승배기,9
7호선,중계,13
7호선,중곡,9
7호선,중화,13
7호선,천왕,9
7호선,철산,17
7호선,청담,26
7호선,태릉입구,13
7호선,하계,13
7호선,학동,17
8호선,가락시장,9
8호선,강동구청,9
8호선,남한산성입구,13
8호선,단대오거리,13
8호선,모란,9
8호선,몽촌토성,9
8호선,문정,9
8호선,복정,13
8호선,산성,9
8호선,석촌,9
8호선,송파,9
8호선,수진,9
8호선,신흥,9
8호선,암사,9
8호선,잠실,17
8호선,장지,13
9호선,둔촌오륜,9
9호선,삼전,9
9호선,석촌,9
9호선,석촌고분,9
9호선,송파나루,9
9호선,올림픽공원,42
9호선,중앙보훈병원,9
9호선,한성백제,9
