노선명,역명,소화기 대수
1호선,동대문,47
1호선,동묘앞,43
1호선,서울,46
1호선,시청,68
1호선,신설동,46
1호선,제기동,38
1호선,종각,50
1호선,종로3가,40
1호선,종로5가,50
1호선,청량리,41
2호선,강남,52
2호선,강변,48
2호선,건대입구,51
2호선,교대,46
2호선,구로디지털단지,39
2호선,구의,45
2호선,낙성대,61
2호선,당산,45
2호선,대림,46
2호선,도림천,29
2호선,동대문역사문화공원,41
2호선,뚝섬,41
2호선,문래,53
2호선,방배,66
2호선,봉천,49
2호선,사당,59
2호선,삼성,44
2호선,상왕십리,44
2호선,서울대입구,54
2호선,서초,61
2호선,선릉,52
2호선,성수,55
2호선,시청,62
2호선,신답,24
2호선,신당,55
2호선,신대방,47
2호선,신도림,96
2호선,신림,44
2호선,신설동,60
2호선,신정네거리,35
2호선,신촌,58
2호선,아현,47
2호선,양천구청,42
2호선,역삼,75
2호선,영등포구청,42
2호선,왕십리,52
2호선,용두,30
2호선,을지로3가,114
2호선,을지로4가,41
2호선,을지로입구,51
2호선,이대,58
2호선,잠실,63
2호선,잠실나루,41
2호선,잠실새내,72
2호선,종합운동장,122
2호선,충정로,51
2호선,한양대,61
2호선,합정,53
2호선,홍대입구,64
3호선,가락시장,46
3호선,경복궁,54
3호선,경찰병원,64
3호선,고속터미널,67
3호선,교대,39
3호선,구파발,46
3호선,금호,35
3호선,남부터미널,36
3호선,녹번,32
3호선,대청,36
3호선,대치,50
3호선,도곡,57
3호선,독립문,37
3호선,동대입구,56
3호선,매봉,41
3호선,무악재,39
3호선,불광,47
3호선,수서,58
3호선,신사,53
3호선,안국,61
3호선,압구정,40
3호선,약수,50
3호선,양재,54
3호선,연신내,33
3호선,오금,65
3호선,옥수,76
3호선,일원,49
3호선,잠원,42
3호선,종로3가,63
3호선,지축,19
3호선,충무로,17
3호선,학여울,47
3호선,홍제,57
4호선,길음,47
4호선,남태령,38
4호선,노원,44
4호선,당고개,38
4호선,동대문,53
4호선,동대문역사문화공원,49
4호선,동작,66
4호선,명동,59
4호선,미아,51
4호선,미아사거리,48
4호선,사당,68
4호선,삼각지,47
4호선,상계,51
4호선,서울,42
4호선,성신여대입구,48
4호선,수유,47
4호선,숙대입구,43
4호선,신용산,48
4호선,쌍문,24
4호선,이촌,42
4호선,창동,51
4호선,총신대입구(이수),50
4호선,충무로,65
4호선,한성대입구,33
4호선,혜화,41
4호선,회현,71
5호선,강동,69
5호선,강일,69
5호선,개롱,22
5호선,거여,38
5호선,고덕,37
5호선,공덕,88
5호선,광나루,40
5호선,광화문,40
5호선,군자,24
5호선,굽은다리,30
5호선,길동,33
5호선,김포공항,44
5호선,까치산,41
5호선,답십리,38
5호선,동대문역사문화공원,45
