역명,노선명,mean,max,min,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수
동대문,1호선,23812,35181,16032,2,3400.0,2090.0,1.0,0.0,1.0,1.0,1.0,30.0,25.0,47,0.0
동묘앞,1호선,21015,37417,12384,2,5700.0,4194.0,1.0,0.0,4.0,12.0,12.0,6.0,9.0,43,0.0
서울역,1호선,105211,139845,65919,2,8725.0,2080.0,1.0,0.0,1.0,5.0,5.0,10.0,64.0,,0.0
시청,1호선,49914,74556,17937,2,6863.0,3784.0,6.0,0.0,1.0,3.0,3.0,25.0,44.0,68,1.0
신설동,1호선,26842,37009,9983,2,4164.0,3076.0,,0.0,1.0,,,66.0,9.0,46,0.0
제기동,1호선,33561,43488,9583,1,5105.0,2815.0,,0.0,1.0,2.0,2.0,164.0,9.0,38,0.0
종각,1호선,71689,97390,21353,1,7737.0,2672.0,7.0,1.0,2.0,2.0,2.0,30.0,50.0,50,0.0
종로3가,1호선,48596,62545,20751,3,5628.0,3683.0,3.0,0.0,2.0,4.0,4.0,60.0,,40,0.0
종로5가,1호선,45919,60968,14338,1,7822.0,2208.0,2.0,0.0,1.0,,,5.0,,50,0.0
청량리,1호선,44535,53782,19672,1,5354.0,1771.0,,0.0,1.0,6.0,6.0,54.0,17.0,41,0.0
강남,2호선,149406,199939,28763,1,4018.0,2374.0,3.0,0.0,1.0,,,78.0,78.0,52,0.0
강변,2호선,57219,78467,33496,1,1791.0,2362.0,1.0,1.0,1.0,2.0,2.0,174.0,59.0,48,0.0
건대입구,2호선,74424,93258,30868,2,3969.0,2574.0,7.0,1.0,1.0,2.0,2.0,261.0,66.0,51,0.0
교대,2호선,62322,87393,8647,2,6307.0,3005.0,8.0,0.0,1.0,4.0,4.0,29.0,22.0,46,0.0
구로디지털단지,2호선,105925,134500,31080,1,3411.0,2343.0,3.0,0.0,1.0,4.0,4.0,294.0,17.0,39,0.0
구의,2호선,46943,59909,15338,1,3236.0,2348.0,5.0,0.0,1.0,6.0,6.0,390.0,13.0,45,1.0
낙성대,2호선,52442,65693,16512,1,3631.0,1994.0,2.0,0.0,1.0,8.0,8.0,92.0,13.0,61,1.0
당산,2호선,36959,57658,10164,2,3635.0,2750.0,4.0,1.0,1.0,1.0,1.0,194.0,13.0,45,0.0
대림,2호선,47574,56972,22800,2,4009.0,2469.0,7.0,1.0,1.0,6.0,6.0,351.0,17.0,46,1.0
도림천,2호선,2550,5537,639,1,2252.0,1306.0,,0.0,1.0,,,14.0,9.0,29,0.0
동대문역사문화공원,2호선,31377,42071,14634,3,4972.0,1568.0,,0.0,1.0,2.0,2.0,56.0,60.0,41,0.0
뚝섬,2호선,48565,67721,10299,1,4961.0,3423.0,5.0,0.0,1.0,8.0,8.0,291.0,39.0,41,0.0
문래,2호선,43215,57636,9014,1,3916.0,2297.0,4.0,0.0,1.0,4.0,4.0,113.0,9.0,53,0.0
방배,2호선,31938,46038,6047,1,3796.0,2155.0,6.0,0.0,1.0,2.0,2.0,59.0,13.0,66,0.0
봉천,2호선,44733,56902,15067,1,3491.0,1743.0,2.0,0.0,1.0,8.0,8.0,109.0,13.0,49,1.0
사당,2호선,83172,114271,23606,2,7285.0,5721.0,12.0,0.0,2.0,14.0,14.0,161.0,26.0,59,0.0
삼성,2호선,102481,144185,26396,1,4777.0,1670.0,,0.0,1.0,4.0,4.0,0.0,64.0,44,0.0
상왕십리,2호선,27289,35181,9183,1,4041.0,1917.0,2.0,1.0,1.0,8.0,8.0,180.0,9.0,44,1.0
서울대입구,2호선,87634,108481,26539,1,4679.0,1750.0,3.0,0.0,1.0,8.0,8.0,74.0,22.0,54,1.0
서초,2호선,40717,56698,5918,1,5202.0,2389.0,7.0,1.0,1.0,8.0,8.0,44.0,13.0,61,0.0
선릉,2호선,96357,131255,11093,1,4153.0,2333.0,15.0,0.0,1.0,2.0,2.0,63.0,34.0,52,0.0
성수,2호선,87800,126433,19082,1,6807.0,2478.0,5.0,0.0,1.0,8.0,8.0,460.0,45.0,55,1.0
시청,2호선,47540,66603,12074,2,9008.0,3553.0,,0.0,2.0,6.0,6.0,0.0,25.0,62,0.0
신답,2호선,3243,4931,902,1,700.0,1503.0,,0.0,1.0,,,50.0,9.0,24,0.0
신당,2호선,29614,38015,11138,2,3701.0,2061.0,1.0,0.0,1.0,2.0,2.0,0.0,13.0,55,0.0
신대방,2호선,48007,61065,21212,1,3342.0,2479.0,1.0,1.0,1.0,8.0,8.0,460.0,13.0,47,1.0
신도림,2호선,97557,121746,29387,1,11880.0,7175.0,9.0,2.0,2.0,9.0,9.0,630.0,79.0,96,0.0
신림,2호선,104125,126171,42965,1,4309.0,1957.0,5.0,0.0,1.0,9.0,9.0,90.0,50.0,44,1.0
신설동,2호선,7330,9806,2498,2,2728.0,1208.0,,0.0,1.0,,,28.0,9.0,60,0.0
신정네거리,2호선,19787,27765,7431,1,5095.0,1765.0,1.0,0.0,1.0,4.0,4.0,98.0,9.0,35,1.0
신촌,2호선,75768,100252,21078,1,5570.0,2050.0,5.0,1.0,1.0,4.0,4.0,90.0,71.0,58,0.0
