역명,노선명,mean,max,min,노선개수
동대문,1호선,23038,43807,7770,2
동묘앞,1호선,19006,37417,6582,2
서울역,1호선,89529,145922,19118,2
시청,1호선,43082,140214,4424,2
신설동,1호선,25677,39659,6326,2
제기동,1호선,33111,56449,6342,1
종각,1호선,66399,142343,10573,1
종로3가,1호선,48707,96468,10412,3
종로5가,1호선,43514,70170,5467,1
청량리,1호선,40595,65932,12284,1
강남,2호선,152343,270553,24417,1
강변,2호선,61919,125718,16250,1
건대입구,2호선,72249,118593,21465,2
교대,2호선,62481,136722,7203,2
구로디지털단지,2호선,105466,158587,23061,1
구의,2호선,42891,59909,11271,1
낙성대,2호선,50343,71878,13432,1
당산,2호선,36905,60838,8332,2
대림,2호선,47006,69650,15219,2
도림천,2호선,2363,5537,458,1
동대문역사문화공원,2호선,28145,57684,5929,3
뚝섬,2호선,40333,67721,5843,1
문래,2호선,38210,57636,6175,1
방배,2호선,31720,55935,5343,1
봉천,2호선,42530,58551,11577,1
사당,2호선,75976,122001,18284,2
삼성,2호선,96623,179076,13550,1
상왕십리,2호선,25311,35576,6225,1
서울대입구,2호선,87040,128004,23218,1
서초,2호선,38526,167580,4177,1
선릉,2호선,90163,139689,8130,1
성수,2호선,67333,126433,8776,1
시청,2호선,41728,73429,2878,2
신답,2호선,3072,4931,654,1
신당,2호선,26918,38015,7486,2
신대방,2호선,47630,68524,15774,1
신도림,2호선,93243,142006,23103,1
신림,2호선,110788,165187,37740,1
신설동,2호선,6848,11266,1564,2
신정네거리,2호선,18592,27765,4725,1
신촌,2호선,70760,122923,15294,1
아현,2호선,18745,27394,4819,1
양천구청,2호선,12671,19377,2937,1
역삼,2호선,89527,139031,7546,1
영등포구청,2호선,39558,56906,6420,2
왕십리,2호선,28459,47118,7507,2
용답,2호선,5180,7882,1761,1
용두,2호선,4401,7315,1056,1
을지로3가,2호선,40317,63159,4108,2
을지로4가,2호선,23278,35608,1936,2
을지로입구,2호선,79810,143909,7740,1
이대,2호선,29288,57923,4913,1
잠실,2호선,139226,261866,33181,2
잠실나루,2호선,25977,42157,4460,1
잠실새내,2호선,41283,71271,9363,1
종합운동장,2호선,21059,133026,2718,2
충정로,2호선,18514,28996,3656,2
한양대,2호선,18489,69498,1791,1
합정,2호선,61446,88274,14377,2
홍대입구,2호선,127257,238472,29671,1
가락시장,3호선,16422,26889,3275,2
경복궁,3호선,42768,140399,5864,1
경찰병원,3호선,13187,19950,2674,1
고속터미널,3호선,90727,176368,24608,3
교대,3호선,21524,62959,2047,2
구파발,3호선,38125,56645,10882,1
금호,3호선,14383,20337,4009,1
남부터미널,3호선,55575,94207,11337,1
녹번,3호선,25669,37849,6307,1
대청,3호선,17567,30254,3779,1
대치,3호선,21206,32220,3810,1
도곡,3호선,9721,15882,1648,1
독립문,3호선,14214,62234,3893,1
동대입구,3호선,18688,41588,4184,1
매봉,3호선,20755,31664,3199,1
무악재,3호선,7450,12087,1942,1
불광,3호선,32290,49012,9214,2
수서,3호선,32732,47987,8163,1
신사,3호선,55560,91078,7861,1
안국,3호선,43638,81154,5963,1
압구정,3호선,59768,95192,7452,1
약수,3호선,23643,35552,6158,2
양재,3호선,69581,115330,9545,1
연신내,3호선,66472,99133,21842,2
오금,3호선,10929,16084,2226,2
옥수,3호선,17005,25005,4605,1
을지로3가,3호선,19522,32538,1848,2
일원,3호선,17826,28405,3189,1
잠원,3호선,9463,16764,1831,1
종로3가,3호선,20468,33025,2887,3
지축,3호선,8331,18175,890,1
충무로,3호선,3,40,1,2
학여울,3호선,4391,26511,632,1
홍제,3호선,32134,52932,8825,1
길음,4호선,38339,63815,8816,1
남태령,4호선,2266,19822,491,1
노원,4호선,41117,75249,11369,2
당고개,4호선,19732,30764,7553,1
동대문,4호선,37649,65229,3535,2
동대문역사문화공원,4호선,31162,59366,6366,3
동작,4호선,3818,31253,746,2
명동,4호선,53024,131868,8518,1
미아,4호선,27869,43643,8339,1
미아사거리,4호선,50504,74971,15228,1
사당,4호선,45561,71478,11521,2
삼각지,4호선,10568,19475,1596,2
상계,4호선,34334,50176,10361,1
서울역,4호선,28638,48947,5396,2
성신여대입구,4호선,38858,60302,11363,1
수유,4호선,63825,92091,20767,1
숙대입구,4호선,25751,42295,5294,1
신용산,4호선,31985,54742,6163,1
쌍문,4호선,52290,75033,15035,1
이촌,4호선,16649,49918,3121,1
창동,4호선,49947,74252,14864,1
총신대입구,4호선,37214,55987,9460,1
충무로,4호선,51142,84955,7114,2
한성대입구,4호선,25878,43826,6833,1
혜화,4호선,66009,114676,14227,1
회현,4호선,48028,80240,3973,1
강동,5호선,33223,47213,8885,1
강일,5호선,8827,14627,2030,1
개롱,5호선,12049,18467,2946,1
개화산,5호선,10079,14519,2636,1
거여,5호선,15972,26003,3381,1
고덕,5호선,17304,26665,3598,1
공덕,5호선,25470,39713,4057,2
광나루,5호선,23761,35756,6644,1
광화문,5호선,58443,186096,4312,1
군자,5호선,21625,33007,6258,2
굽은다리,5호선,17137,24294,5077,1
길동,5호선,14714,20849,4076,1
김포공항,5호선,14880,25273,6068,2
까치산,5호선,51576,71871,16358,1
답십리,5호선,27466,39368,7375,1
동대문역사문화공원,5호선,5448,8471,709,3
둔촌동,5호선,15795,23473,3754,1
마곡,5호선,17038,29832,2640,1
마장,5호선,10343,15935,2765,1
마천,5호선,11781,19477,3501,1
마포,5호선,25459,56329,4265,1
명일,5호선,15822,22532,3462,1
목동,5호선,31837,49241,7284,1
미사,5호선,29396,45171,6319,1
발산,5호선,36965,56867,6489,1
방이,5호선,13293,19015,2861,1
방화,5호선,12296,21397,3711,1
상일동,5호선,25427,36999,6417,1
서대문,5호선,32754,56239,4585,1
송정,5호선,12443,22220,3917,1
신금호,5호선,11715,16830,3002,1
신길,5호선,7685,25794,1672,1
신정,5호선,22145,31061,6094,1
아차산,5호선,27131,39148,9779,1
애오개,5호선,12116,19700,2458,1
양평,5호선,12645,19847,2354,1
여의나루,5호선,24017,141499,3128,1
여의도,5호선,48150,149125,4990,2
영등포구청,5호선,7135,11669,1233,2
영등포시장,5호선,19038,35299,3460,1
오금,5호선,6551,9475,1341,2
오목교,5호선,41584,71853,8364,1
올림픽공원,5호선,8499,25258,1714,2
왕십리,5호선,9086,13644,2592,2
우장산,5호선,26312,39649,6158,1
을지로4가,5호선,10697,16057,784,2
장한평,5호선,32986,51161,6966,1
종로3가,5호선,26339,57731,5353,3
