역명,노선명,mean,max,min,노선개수
동대문,1호선,23812,35181,16032,2
동묘앞,1호선,21015,37417,12384,2
서울역,1호선,105211,139845,65919,2
시청,1호선,49914,74556,17937,2
신설동,1호선,26842,37009,9983,2
제기동,1호선,33561,43488,9583,1
종각,1호선,71689,97390,21353,1
종로3가,1호선,48596,62545,20751,3
종로5가,1호선,45919,60968,14338,1
청량리,1호선,44535,53782,19672,1
강남,2호선,149406,199939,28763,1
강변,2호선,57219,78467,33496,1
건대입구,2호선,74424,93258,30868,2
교대,2호선,62322,87393,8647,2
구로디지털단지,2호선,105925,134500,31080,1
구의,2호선,46943,59909,15338,1
낙성대,2호선,52442,65693,16512,1
당산,2호선,36959,57658,10164,2
대림,2호선,47574,56972,22800,2
도림천,2호선,2550,5537,639,1
동대문역사문화공원,2호선,31377,42071,14634,3
뚝섬,2호선,48565,67721,10299,1
문래,2호선,43215,57636,9014,1
방배,2호선,31938,46038,6047,1
봉천,2호선,44733,56902,15067,1
사당,2호선,83172,114271,23606,2
삼성,2호선,102481,144185,26396,1
상왕십리,2호선,27289,35181,9183,1
서울대입구,2호선,87634,108481,26539,1
서초,2호선,40717,56698,5918,1
선릉,2호선,96357,131255,11093,1
성수,2호선,87800,126433,19082,1
시청,2호선,47540,66603,12074,2
신답,2호선,3243,4931,902,1
신당,2호선,29614,38015,11138,2
신대방,2호선,48007,61065,21212,1
신도림,2호선,97557,121746,29387,1
신림,2호선,104125,126171,42965,1
신설동,2호선,7330,9806,2498,2
신정네거리,2호선,19787,27765,7431,1
신촌,2호선,75768,100252,21078,1
아현,2호선,20340,27394,7350,1
양천구청,2호선,13290,19377,4776,1
역삼,2호선,95708,137386,10350,1
영등포구청,2호선,42149,54650,8822,2
왕십리,2호선,29307,37787,9655,2
용답,2호선,5762,7882,2345,1
용두,2호선,4856,7315,1225,1
을지로3가,2호선,46632,62185,11235,2
을지로4가,2호선,26464,35608,6109,2
을지로입구,2호선,93661,134918,26255,1
이대,2호선,33624,51365,9134,1
잠실,2호선,155872,258925,72439,2
잠실나루,2호선,27641,37504,6782,1
잠실새내,2호선,45880,64198,13309,1
종합운동장,2호선,26425,76759,5051,2
충정로,2호선,19414,26580,4691,2
한양대,2호선,21957,47618,2609,1
합정,2호선,66635,84934,22695,2
홍대입구,2호선,149786,217958,74752,1
가락시장,3호선,17201,23088,4419,2
경복궁,3호선,50387,83810,23347,1
경찰병원,3호선,13967,19117,3614,1
고속터미널,3호선,98210,141921,49510,3
교대,3호선,24701,34664,3545,2
구파발,3호선,41636,56645,17624,1
금호,3호선,14957,19440,6254,1
남부터미널,3호선,57828,80202,21069,1
녹번,3호선,27944,37849,10372,1
대청,3호선,19753,28103,5638,1
대치,3호선,23721,29944,7978,1
도곡,3호선,10934,15782,2028,1
독립문,3호선,15463,30644,5824,1
동대입구,3호선,22474,41588,8057,1
매봉,3호선,22838,31664,4506,1
무악재,3호선,8366,12087,3387,1
불광,3호선,33420,42467,13225,2
수서,3호선,36443,46751,16612,1
신사,3호선,54044,72108,11050,1
안국,3호선,53341,81154,23586,1
압구정,3호선,61546,82596,10283,1
약수,3호선,24503,31107,9186,2
양재,3호선,71274,99222,12883,1
연신내,3호선,64797,80572,28534,2
오금,3호선,11829,15087,3485,2
옥수,3호선,17512,22187,6443,1
을지로3가,3호선,22166,30413,5112,2
일원,3호선,20016,28405,4632,1
잠원,3호선,9580,13153,2598,1
종로3가,3호선,23123,31069,8166,3
지축,3호선,14116,18175,4773,1
충무로,3호선,9,40,1,2
학여울,3호선,5056,20265,890,1
홍제,3호선,34104,52932,14682,1
길음,4호선,41218,63815,16431,1
남태령,4호선,2591,19822,1035,1
노원,4호선,54306,75249,19841,2
당고개,4호선,17484,21579,9108,1
동대문,4호선,38620,50104,9993,2
동대문역사문화공원,4호선,35489,45578,16243,3
동작,4호선,3197,18559,1195,2
명동,4호선,70530,131868,42859,1
미아,4호선,29514,43643,12715,1
미아사거리,4호선,51150,72561,23395,1
사당,4호선,48817,63806,17896,2
삼각지,4호선,13571,18053,4572,2
상계,4호선,36069,45336,16319,1
서울역,4호선,33789,44780,16311,2
성신여대입구,4호선,42382,58906,16739,1
수유,4호선,65690,86742,31528,1
숙대입구,4호선,28543,41175,8212,1
신용산,4호선,39705,54742,14577,1
쌍문,4호선,54260,68731,23873,1
이촌,4호선,18685,49323,4527,1
창동,4호선,53014,65601,21326,1
총신대입구,4호선,38791,49617,12565,1
충무로,4호선,58478,83573,17278,2
한성대입구,4호선,27185,38007,10538,1
혜화,4호선,71551,94452,24573,1
회현,4호선,52967,70320,9932,1
강동,5호선,34537,44250,11672,1
강일,5호선,11021,14627,3769,1
개롱,5호선,12789,18467,3907,1
개화산,5호선,11238,14119,4696,1
거여,5호선,18944,26003,6239,1
고덕,5호선,19876,26665,5343,1
공덕,5호선,27543,39713,6167,2
광나루,5호선,24374,33248,7578,1
